SRC	TRG	PINYIN_STR	PINYIN_CHAR
peveril	佩弗里尔	pei fu li er	p e i f u l i e r
burchardt	伯查特	bo cha te	b o c h a t e
mcrill	麦克里尔	mai ke li er	m a i k e l i e r
tyriq	泰里克	tai li ke	t a i l i k e
arnheim	安海姆	an hai mu	a n h a i m u
cosens	科曾斯	ke zeng si	k e z e n g s i
most	莫斯特	mo si te	m o s i t e
rotch	罗奇	luo qi	l u o q i
sendzimer	森齐默	sen qi mo	s e n q i m o
cubbon	卡本	ka ben	k a b e n
hassialis	哈西亚利斯	ha xi ya li si	h a x i y a l i s i
szulc	肖尔茨	xiao er ci	x i a o e r c i
alprovitz	阿尔普罗维茨	a er pu luo wei ci	a e r p u l u o w e i c i
holburg	霍伯格	huo bo ge	h u o b o g e
cudney	卡德尼	ka de ni	k a d e n i
amable	阿玛布尔	a ma bu er	a m a b u e r
worde	沃德	wo de	w o d e
riess	里斯	li si	l i s i
tewsbury	图斯伯里	tu si bo li	t u s i b o l i
brissenden	布里森登	bu li sen deng	b u l i s e n d e n g
garwell	加韦尔	jia wei er	j i a w e i e r
dermody	德莫迪	de mo di	d e m o d i
swinerton	斯温纳顿	si wen na dun	s i w e n n a d u n
vallee	瓦利	wa li	w a l i
batsakis	巴察基斯	ba cha ji si	b a c h a j i s i
oxenberg	奥克森伯格	ao ke sen bo ge	a o k e s e n b o g e
hughey	休伊	xiu yi	x i u y i
seger	西格	xi ge	x i g e
mydans	迈登斯	mai deng si	m a i d e n g s i
iolo	约洛	yue luo	y u e l u o
harvuot	哈沃	ha wo	h a w o
oswy	奥斯维	ao si wei	a o s i w e i
rouiller	鲁伊勒	lu yi le	l u y i l e
norwood	诺伍德	nuo wu de	n u o w u d e
havighurst	哈维格斯特	ha wei ge si te	h a w e i g e s i t e
da	达	da	d a
stivers	斯蒂弗斯	si di fu si	s i d i f u s i
zamberlan	赞伯兰	zan bo lan	z a n b o l a n
demille	德米尔	de mi er	d e m i e r
blumstein	布卢姆斯坦	bu lu mu si tan	b u l u m u s i t a n
puranik	普拉尼克	pu la ni ke	p u l a n i k e
boes	伯斯	bo si	b o s i
staenberg	斯坦伯格	si tan bo ge	s i t a n b o g e
mayrs	迈尔斯	mai er si	m a i e r s i
revill	雷维尔	lei wei er	l e i w e i e r
chakiris	查基里斯	cha ji li si	c h a j i l i s i
fedeli	费代利	fei dai li	f e i d a i l i
boccardi	博卡尔迪	bo ka er di	b o k a e r d i
lehrer	莱勒	lai le	l a i l e
meggison	梅吉森	mei ji sen	m e i j i s e n
skeen	斯基恩	si ji en	s i j i e n
macneice	麦克尼斯	mai ke ni si	m a i k e n i s i
enraght	恩里特	en li te	e n l i t e
sawh	索	suo	s u o
watkins	沃特金斯	wo te jin si	w o t e j i n s i
hipps	希普斯	xi pu si	x i p u s i
blumel	布卢梅尔	bu lu mei er	b u l u m e i e r
mendelsohn	门德尔松	men de er song	m e n d e e r s o n g
galston	高尔斯顿	gao er si dun	g a o e r s i d u n
shewmon	休蒙	xiu meng	x i u m e n g
arrott	阿罗特	a luo te	a l u o t e
chace	蔡斯	cai si	c a i s i
skallerup	斯卡尔拉普	si ka er la pu	s i k a e r l a p u
haseltine	哈兹尔廷	ha zi er ting	h a z i e r t i n g
blackburne	布莱克本	bu lai ke ben	b u l a i k e b e n
danica	达妮卡	da ni ka	d a n i k a
doumar	杜马	du ma	d u m a
bourton	鲍尔顿	bao er dun	b a o e r d u n
seip	塞普	sai pu	s a i p u
ditchburn	迪奇伯恩	di qi bo en	d i q i b o e n
macbrayne	麦克布雷恩	mai ke bu lei en	m a i k e b u l e i e n
fredricksen	弗雷德里克森	fu lei de li ke sen	f u l e i d e l i k e s e n
crutchfield	克拉奇菲尔德	ke la qi fei er de	k e l a q i f e i e r d e
brandauer	布兰道尔	bu lan dao er	b u l a n d a o e r
sheley	谢利	xie li	x i e l i
lateef	拉蒂夫	la di fu	l a d i f u
danyluk	达尼卢克	da ni lu ke	d a n i l u k e
prahin	普拉欣	pu la xin	p u l a x i n
forster	福斯特	fu si te	f u s i t e
malkiel	马尔基尔	ma er ji er	m a e r j i e r
eliza	伊丽莎	yi li sha	y i l i s h a
krane	克兰	ke lan	k e l a n
aldun	奥敦	ao dun	a o d u n
kettrick	凯特里克	kai te li ke	k a i t e l i k e
squadron	斯夸德伦	si kua de lun	s i k u a d e l u n
albritton	奥尔布里顿	ao er bu li dun	a o e r b u l i d u n
helmholz	赫姆霍尔兹	he mu huo er zi	h e m u h u o e r z i
romanis	罗马尼斯	luo ma ni si	l u o m a n i s i
tozer	托泽	tuo ze	t u o z e
coviello	科维略	ke wei lve	k e w e i l v e
hovanesian	霍瓦尼西安	huo wa ni xi an	h u o w a n i x i a n
conarroe	科纳罗	ke na luo	k e n a l u o
crohn	克罗恩	ke luo en	k e l u o e n
hillquit	希尔奎特	xi er kui te	x i e r k u i t e
borget	博格特	bo ge te	b o g e t e
poock	普克	pu ke	p u k e
rousseau	鲁索	lu suo	l u s u o
aylward	艾尔沃德	ai er wo de	a i e r w o d e
frazetta	弗拉泽塔	fu la ze ta	f u l a z e t a
maton	梅顿	mei dun	m e i d u n
darell	达雷尔	da lei er	d a l e i e r
ellroy	埃尔罗伊	ai er luo yi	a i e r l u o y i
garvice	加维斯	jia wei si	j i a w e i s i
batho	巴索	ba suo	b a s u o
bierley	比尔利	bi er li	b i e r l i
cyres	西尔斯	xi er si	x i e r s i
timour	蒂穆尔	di mu er	d i m u e r
gruenstein	格伦斯坦	ge lun si tan	g e l u n s i t a n
henrich	亨里奇	heng li qi	h e n g l i q i
primoff	普里莫夫	pu li mo fu	p u l i m o f u
arends	阿伦兹	a lun zi	a l u n z i
arber	阿伯	a bo	a b o
owain	欧文	ou wen	o u w e n
gessler	格斯勒	ge si le	g e s i l e
jael	杰尔	jie er	j i e e r
broadrick	布罗德里克	bu luo de li ke	b u l u o d e l i k e
ortega	奥尔特加	ao er te jia	a o e r t e j i a
bittern	比滕	bi teng	b i t e n g
huvos	休沃斯	xiu wo si	x i u w o s i
whelpton	惠尔普顿	hui er pu dun	h u i e r p u d u n
faegre	费格尔	fei ge er	f e i g e e r
babbidge	巴比奇	ba bi qi	b a b i q i
zibart	齐巴特	qi ba te	q i b a t e
ardison	阿迪森	a di sen	a d i s e n
robey	罗比	luo bi	l u o b i
hantman	汉特曼	han te man	h a n t e m a n
melendez	梅伦德斯	mei lun de si	m e i l u n d e s i
phear	菲尔	fei er	f e i e r
huppe	赫普	he pu	h e p u
bangs	班斯	ban si	b a n s i
quintus	昆塔斯	kun ta si	k u n t a s i
arrold	阿罗尔德	a luo er de	a l u o e r d e
munnell	芒内尔	mang nei er	m a n g n e i e r
hatley	哈特利	ha te li	h a t e l i
feldt	费尔特	fei er te	f e i e r t e
ray	雷	lei	l e i
csanady	乔纳迪	qiao na di	q i a o n a d i
weisenthal	韦森索尔	wei sen suo er	w e i s e n s u o e r
botez	博泰兹	bo tai zi	b o t a i z i
cedar	锡达	xi da	x i d a
becke	贝克	bei ke	b e i k e
oelke	奥尔基	ao er ji	a o e r j i
heimlich	海姆利希	hai mu li xi	h a i m u l i x i
armitage	阿米蒂奇	a mi di qi	a m i d i q i
gerschom	格肖姆	ge xiao mu	g e x i a o m u
tania	塔妮娅	ta ni ya	t a n i y a
bienvenue	比安弗尼	bi an fu ni	b i a n f u n i
brighton	布赖顿	bu lai dun	b u l a i d u n
deiniol	戴尼奥尔	dai ni ao er	d a i n i a o e r
mcelvenny	麦克尔文尼	mai ke er wen ni	m a i k e e r w e n n i
mccauley	麦考利	mai kao li	m a i k a o l i
quester	奎斯特	kui si te	k u i s i t e
wantz	万茨	wan ci	w a n c i
hazelhurst	黑兹尔赫斯特	hei zi er he si te	h e i z i e r h e s i t e
igleski	伊格尔斯基	yi ge er si ji	y i g e e r s i j i
swedenburg	斯韦登伯格	si wei deng bo ge	s i w e i d e n g b o g e
thulean	图林	tu lin	t u l i n
andi	安迪	an di	a n d i
mowlem	莫勒姆	mo le mu	m o l e m u
holzworth	霍尔兹沃思	huo er zi wo si	h u o e r z i w o s i
bednorz	贝德诺尔茨	bei de nuo er ci	b e i d e n u o e r c i
witkowsky	维特科夫斯基	wei te ke fu si ji	w e i t e k e f u s i j i
arrochar	阿罗克尔	a luo ke er	a l u o k e e r
kramer	克雷默	ke lei mo	k e l e i m o
congdon	康登	kang deng	k a n g d e n g
copestick	科普斯蒂克	ke pu si di ke	k e p u s i d i k e
georgette	乔吉特	qiao ji te	q i a o j i t e
cota	科塔	ke ta	k e t a
barness	巴尼斯	ba ni si	b a n i s i
dagradi	达格拉迪	da ge la di	d a g e l a d i
ingle	英格尔	ying ge er	y i n g g e e r
turpen	特彭	te peng	t e p e n g
blann	布兰	bu lan	b u l a n
tara	塔拉	ta la	t a l a
ances	安西斯	an xi si	a n x i s i
yelton	耶尔顿	ye er dun	y e e r d u n
hopen	霍彭	huo peng	h u o p e n g
garment	加门特	jia men te	j i a m e n t e
miranda	米兰达	mi lan da	m i l a n d a
shangraw	尚格劳	shang ge lao	s h a n g g e l a o
bennington	本宁顿	ben ning dun	b e n n i n g d u n
dohrn	多恩	duo en	d u o e n
springborn	斯普林伯恩	si pu lin bo en	s i p u l i n b o e n
leisy	利西	li xi	l i x i
colm	科尔姆	ke er mu	k e e r m u
ehrlichman	埃利希曼	ai li xi man	a i l i x i m a n
greaux	格罗	ge luo	g e l u o
sherwin	舍温	she wen	s h e w e n
spaniol	斯帕尼奥尔	si pa ni ao er	s i p a n i a o e r
truss	特拉斯	te la si	t e l a s i
jakobi	雅各比	ya ge bi	y a g e b i
willix	威利克斯	wei li ke si	w e i l i k e s i
convy	康维	kang wei	k a n g w e i
pecock	皮科克	pi ke ke	p i k e k e
mccloy	麦克洛伊	mai ke luo yi	m a i k e l u o y i
bliwas	布利瓦斯	bu li wa si	b u l i w a s i
souter	苏特	su te	s u t e
wason	沃森	wo sen	w o s e n
waghen	沃恩	wo en	w o e n
newton	牛顿	niu dun	n i u d u n
praed	普雷德	pu lei de	p u l e i d e
chickering	奇克林	qi ke lin	q i k e l i n
citron	西特伦	xi te lun	x i t e l u n
heimsath	海姆萨特	hai mu sa te	h a i m u s a t e
olave	奥拉夫	ao la fu	a o l a f u
kaden	卡登	ka deng	k a d e n g
chattaway	查塔韦	cha ta wei	c h a t a w e i
fazan	法赞	fa zan	f a z a n
prys	普里斯	pu li si	p u l i s i
thomasina	托马西纳	tuo ma xi na	t u o m a x i n a
pregnall	普雷格纳尔	pu lei ge na er	p u l e i g e n a e r
mckessy	麦克西	mai ke xi	m a i k e x i
sagar	塞格尔	sai ge er	s a i g e e r
pledge	普莱奇	pu lai qi	p u l a i q i
lucy	露西	lu xi	l u x i
kilbane	基尔班	ji er ban	j i e r b a n
englert	恩格勒特	en ge le te	e n g e l e t e
oboyle	奥博伊尔	ao bo yi er	a o b o y i e r
fennebresque	芬内布雷斯克	fen nei bu lei si ke	f e n n e i b u l e i s i k e
arrol	阿罗尔	a luo er	a l u o e r
knightly	奈特利	nai te li	n a i t e l i
clurman	克勒曼	ke le man	k e l e m a n
przywitowski	普日维托夫斯基	pu ri wei tuo fu si ji	p u r i w e i t u o f u s i j i
brensen	布伦森	bu lun sen	b u l u n s e n
culverhouse	卡尔弗豪斯	ka er fu hao si	k a e r f u h a o s i
keck	凯克	kai ke	k a i k e
angelitta	安杰莉塔	an jie li ta	a n j i e l i t a
rivard	里瓦德	li wa de	l i w a d e
smelzer	斯梅尔策	si mei er ce	s i m e i e r c e
fouke	福克	fu ke	f u k e
bedient	贝迪恩特	bei di en te	b e i d i e n t e
crandall	克兰德尔	ke lan de er	k e l a n d e e r
menville	门维尔	men wei er	m e n w e i e r
kievit	基维特	ji wei te	j i w e i t e
lollar	洛拉	luo la	l u o l a
nordberg	诺德伯格	nuo de bo ge	n u o d e b o g e
gaut	高特	gao te	g a o t e
dafoe	达福	da fu	d a f u
winegar	瓦恩加	wa en jia	w a e n j i a
wagoner	瓦戈纳	wa ge na	w a g e n a
schmitten	施米滕	shi mi teng	s h i m i t e n g
cowperthwaite	考珀思韦特	kao po si wei te	k a o p o s i w e i t e
macvey	麦克维伊	mai ke wei yi	m a i k e w e i y i
kali	凯莉	kai li	k a i l i
brassey	布拉西	bu la xi	b u l a x i
bloomingdale	布卢明代尔	bu lu ming dai er	b u l u m i n g d a i e r
couch	库奇	ku qi	k u q i
trombino	特龙比诺	te long bi nuo	t e l o n g b i n u o
denecke	德内克	de nei ke	d e n e i k e
gimbel	金贝尔	jin bei er	j i n b e i e r
titcombe	蒂特科姆	di te ke mu	d i t e k e m u
anneliese	安纳利斯	an na li si	a n n a l i s i
gilby	吉尔比	ji er bi	j i e r b i
rulkoeter	鲁尔克特	lu er ke te	l u e r k e t e
reighard	赖格哈德	lai ge ha de	l a i g e h a d e
agutter	阿格特	a ge te	a g e t e
schnurr	施努尔	shi nu er	s h i n u e r
sam	萨姆	sa mu	s a m u
lavine	拉文	la wen	l a w e n
witke	威特克	wei te ke	w e i t e k e
gilbreth	吉尔布雷思	ji er bu lei si	j i e r b u l e i s i
furk	弗克	fu ke	f u k e
chapdler	查普德勒	cha pu de le	c h a p u d e l e
caughan	考恩	kao en	k a o e n
altmann	奥尔特曼	ao er te man	a o e r t e m a n
keane	基恩	ji en	j i e n
brainerd	布雷纳德	bu lei na de	b u l e i n a d e
fetter	费特	fei te	f e i t e
maccallum	麦卡勒姆	mai ka le mu	m a i k a l e m u
dibiaggio	迪比亚乔	di bi ya qiao	d i b i y a q i a o
morosky	莫罗斯基	mo luo si ji	m o l u o s i j i
chetwynd	切特温德	qie te wen de	q i e t e w e n d e
wolverson	沃尔弗森	wo er fu sen	w o e r f u s e n
alwyne	阿尔文	a er wen	a e r w e n
comanor	科马诺	ke ma nuo	k e m a n u o
diresta	迪雷斯塔	di lei si ta	d i l e i s i t a
budinger	巴丁杰	ba ding jie	b a d i n g j i e
eryn	埃琳	ai lin	a i l i n
mcgiverin	麦吉弗林	mai ji fu lin	m a i j i f u l i n
spencer	斯潘塞	si pan sai	s i p a n s a i
haessle	黑斯尔	hei si er	h e i s i e r
macildowie	麦基尔杜伊	mai ji er du yi	m a i j i e r d u y i
brundrett	布伦德里特	bu lun de li te	b u l u n d e l i t e
fairclough	费尔克拉夫	fei er ke la fu	f e i e r k e l a f u
shearme	舍姆	she mu	s h e m u
yorkin	约金	yue jin	y u e j i n
tiedeman	蒂德曼	di de man	d i d e m a n
penzias	彭齐亚斯	peng qi ya si	p e n g q i y a s i
tatom	塔托姆	ta tuo mu	t a t u o m u
berberich	伯布里克	bo bu li ke	b o b u l i k e
nicholetts	尼科利茨	ni ke li ci	n i k e l i c i
geach	吉奇	ji qi	j i q i
koonen	库嫩	ku nen	k u n e n
batson	巴特森	ba te sen	b a t e s e n
cassidy	卡西迪	ka xi di	k a x i d i
palles	帕利斯	pa li si	p a l i s i
arrandell	阿伦德尔	a lun de er	a l u n d e e r
ogerus	奥格勒斯	ao ge le si	a o g e l e s i
clasey	克拉西	ke la xi	k e l a x i
kirks	柯克斯	ke ke si	k e k e s i
pudsey	帕齐	pa qi	p a q i
menzler	门兹勒	men zi le	m e n z i l e
mankel	曼克尔	man ke er	m a n k e e r
beamer	比默	bi mo	b i m o
conolly	康诺利	kang nuo li	k a n g n u o l i
shalleck	沙莱克	sha lai ke	s h a l a i k e
bayfield	贝菲尔德	bei fei er de	b e i f e i e r d e
hirst	赫斯特	he si te	h e s i t e
meyeringh	迈耶林	mai ye lin	m a i y e l i n
rowntree	朗特里	lang te li	l a n g t e l i
gowan	高恩	gao en	g a o e n
crickard	克里卡德	ke li ka de	k e l i k a d e
dallek	达莱克	da lai ke	d a l a i k e
hoeflin	赫夫林	he fu lin	h e f u l i n
basnett	巴斯尼特	ba si ni te	b a s i n i t e
haseman	黑斯曼	hei si man	h e i s i m a n
alicen	艾莉森	ai li sen	a i l i s e n
degavre	德加弗	de jia fu	d e j i a f u
zappulla	扎普拉	zha pu la	z h a p u l a
worst	沃斯特	wo si te	w o s i t e
dublin	达布林	da bu lin	d a b u l i n
eustacius	尤斯塔修斯	you si ta xiu si	y o u s i t a x i u s i
kempelman	肯普尔曼	ken pu er man	k e n p u e r m a n
stastny	斯塔斯特尼	si ta si te ni	s i t a s i t e n i
fownes	福恩斯	fu en si	f u e n s i
spiridion	斯皮里迪恩	si pi li di en	s i p i l i d i e n
podell	波德尔	bo de er	b o d e e r
lotbiniere	洛特比尼埃	luo te bi ni ai	l u o t e b i n i a i
albinson	阿尔宾森	a er bin sen	a e r b i n s e n
telphere	特尔菲尔	te er fei er	t e e r f e i e r
alberic	阿尔伯里克	a er bo li ke	a e r b o l i k e
oveta	奥维塔	ao wei ta	a o w e i t a
helstad	赫尔斯塔德	he er si ta de	h e e r s i t a d e
holtzoff	霍尔佐夫	huo er zuo fu	h u o e r z u o f u
delhey	德尔希	de er xi	d e e r x i
cranfield	克兰菲尔德	ke lan fei er de	k e l a n f e i e r d e
watkiss	沃基斯	wo ji si	w o j i s i
charney	查尼	cha ni	c h a n i
drahmann	德拉曼	de la man	d e l a m a n
maguirel	马圭雷尔	ma gui lei er	m a g u i l e i e r
days	戴斯	dai si	d a i s i
jeff	杰夫	jie fu	j i e f u
bechtol	贝克托尔	bei ke tuo er	b e i k e t u o e r
glackens	格拉肯斯	ge la ken si	g e l a k e n s i
chabon	沙邦	sha bang	s h a b a n g
wolfit	沃尔菲特	wo er fei te	w o e r f e i t e
moakley	莫克利	mo ke li	m o k e l i
dorcus	多克斯	duo ke si	d u o k e s i
herbers	赫伯斯	he bo si	h e b o s i
fassler	法斯勒	fa si le	f a s i l e
redgrav	雷德格雷夫	lei de ge lei fu	l e i d e g e l e i f u
maultsby	莫尔茨比	mo er ci bi	m o e r c i b i
arnaud	阿诺	a nuo	a n u o
hendon	亨登	heng deng	h e n g d e n g
cerny	塞尔尼	sai er ni	s a i e r n i
perskie	珀斯基	po si ji	p o s i j i
appolonia	阿波洛尼娅	a bo luo ni ya	a b o l u o n i y a
sturc	斯图克	si tu ke	s i t u k e
knopp	诺普	nuo pu	n u o p u
luby	卢比	lu bi	l u b i
dennes	丹尼斯	dan ni si	d a n n i s i
greenstone	格林斯通	ge lin si tong	g e l i n s i t o n g
bercovitz	伯科维茨	bo ke wei ci	b o k e w e i c i
corea	科里亚	ke li ya	k e l i y a
kleindinst	克兰丁斯特	ke lan ding si te	k e l a n d i n g s i t e
hornyak	霍尼亚克	huo ni ya ke	h u o n i y a k e
muska	马斯卡	ma si ka	m a s i k a
mayer	迈耶	mai ye	m a i y e
scogings	斯科金斯	si ke jin si	s i k e j i n s i
massereene	马塞林	ma sai lin	m a s a i l i n
denoble	德诺布尔	de nuo bu er	d e n u o b u e r
mcdavid	麦克戴维	mai ke dai wei	m a i k e d a i w e i
verinder	韦林德	wei lin de	w e i l i n d e
robichaud	罗比肖	luo bi xiao	l u o b i x i a o
ibanez	伊巴涅斯	yi ba nie si	y i b a n i e s i
cariston	卡里斯顿	ka li si dun	k a l i s i d u n
inchbald	英奇博尔德	ying qi bo er de	y i n g q i b o e r d e
lathom	莱瑟姆	lai se mu	l a i s e m u
furry	弗里	fu li	f u l i
katsaros	卡察罗斯	ka cha luo si	k a c h a l u o s i
self	塞尔夫	sai er fu	s a i e r f u
videan	维迪恩	wei di en	w e i d i e n
kushnet	库什内特	ku shi nei te	k u s h i n e i t e
rakof	雷科夫	lei ke fu	l e i k e f u
kouts	考茨	kao ci	k a o c i
jent	詹特	zhan te	z h a n t e
rudulph	鲁道夫	lu dao fu	l u d a o f u
dresser	德雷瑟	de lei se	d e l e i s e
houminer	霍米纳	huo mi na	h u o m i n a
hession	赫申	he shen	h e s h e n
skemp	斯肯普	si ken pu	s i k e n p u
huesmann	休斯曼	xiu si man	x i u s i m a n
burkstrand	伯克斯特兰德	bo ke si te lan de	b o k e s i t e l a n d e
kuranda	库兰达	ku lan da	k u l a n d a
hawkesworth	霍克斯沃思	huo ke si wo si	h u o k e s i w o s i
houry	霍里	huo li	h u o l i
abrahamson	阿伯拉罕森	a bo la han sen	a b o l a h a n s e n
titshall	蒂歇尔	di xie er	d i x i e e r
riegel	里格尔	li ge er	l i g e e r
clave	克拉夫	ke la fu	k e l a f u
wolkstein	沃尔克斯坦	wo er ke si tan	w o e r k e s i t a n
frudden	弗鲁登	fu lu deng	f u l u d e n g
allers	阿勒斯	a le si	a l e s i
gampell	甘佩尔	gan pei er	g a n p e i e r
knisely	尼斯利	ni si li	n i s i l i
newby	纽比	niu bi	n i u b i
quadro	夸德罗	kua de luo	k u a d e l u o
yacht	约特	yue te	y u e t e
mouton	穆顿	mu dun	m u d u n
henricks	亨里克斯	heng li ke si	h e n g l i k e s i
klaussen	克劳森	ke lao sen	k e l a o s e n
jain	贾因	jia yin	j i a y i n
elvin	埃尔文	ai er wen	a i e r w e n
gerlach	格拉克	ge la ke	g e l a k e
bickham	比卡姆	bi ka mu	b i k a m u
codraro	科德拉罗	ke de la luo	k e d e l a l u o
corbett	科比特	ke bi te	k e b i t e
danworth	丹沃思	dan wo si	d a n w o s i
kosslyn	科斯林	ke si lin	k e s i l i n
bullinga	布林加	bu lin jia	b u l i n j i a
shellshear	谢尔希尔	xie er xi er	x i e e r x i e r
hoser	霍泽	huo ze	h u o z e
cordelia	科迪莉亚	ke di li ya	k e d i l i y a
mattie	马蒂	ma di	m a d i
bashwiner	巴什威纳	ba shi wei na	b a s h i w e i n a
maesta	梅斯塔	mei si ta	m e i s i t a
wyland	怀兰	huai lan	h u a i l a n
freke	弗里克	fu li ke	f u l i k e
repton	雷普顿	lei pu dun	l e i p u d u n
goudge	古奇	gu qi	g u q i
dietsch	迪奇	di qi	d i q i
stiffler	斯蒂夫勒	si di fu le	s i d i f u l e
marker	马克	ma ke	m a k e
zinser	津瑟	jin se	j i n s e
groberg	格罗伯格	ge luo bo ge	g e l u o b o g e
bartelmez	巴特尔梅兹	ba te er mei zi	b a t e e r m e i z i
winlaw	温洛	wen luo	w e n l u o
newzam	纽扎姆	niu zha mu	n i u z h a m u
hauger	豪格	hao ge	h a o g e
summerskill	萨默斯基尔	sa mo si ji er	s a m o s i j i e r
scobey	斯科比	si ke bi	s i k e b i
cambiaire	坎比埃尔	kan bi ai er	k a n b i a i e r
jenkens	詹肯斯	zhan ken si	z h a n k e n s i
mirrielees	米里利斯	mi li li si	m i l i l i s i
sigourney	西戈尼	xi ge ni	x i g e n i
decarli	德卡利	de ka li	d e k a l i
baylay	贝利	bei li	b e i l i
rydenour	赖德诺尔	lai de nuo er	l a i d e n u o e r
augustyn	奥古斯丁	ao gu si ding	a o g u s i d i n g
hedgpeth	赫奇佩思	he qi pei si	h e q i p e i s i
stallone	斯塔隆	si ta long	s i t a l o n g
rovine	罗文	luo wen	l u o w e n
hoelker	赫尔克	he er ke	h e e r k e
mellups	梅拉普斯	mei la pu si	m e i l a p u s i
ellenor	埃莉诺	ai li nuo	a i l i n u o
crackel	克拉克尔	ke la ke er	k e l a k e e r
callan	卡伦	ka lun	k a l u n
cotman	科特曼	ke te man	k e t e m a n
reves	里夫斯	li fu si	l i f u s i
braide	布雷德	bu lei de	b u l e i d e
bofinger	博芬格	bo fen ge	b o f e n g e
iossi	约西	yue xi	y u e x i
lyoell	莱昂内尔	lai ang nei er	l a i a n g n e i e r
macleary	麦克利里	mai ke li li	m a i k e l i l i
mason	梅森	mei sen	m e i s e n
cosand	科桑德	ke sang de	k e s a n g d e
sketch	斯凯奇	si kai qi	s i k a i q i
skelhorn	斯凯霍恩	si kai huo en	s i k a i h u o e n
langridge	兰格里奇	lan ge li qi	l a n g e l i q i
mcbane	麦克贝恩	mai ke bei en	m a i k e b e i e n
correy	科里	ke li	k e l i
pruitt	普鲁伊特	pu lu yi te	p u l u y i t e
crofford	克罗福德	ke luo fu de	k e l u o f u d e
adshead	阿谢德	a xie de	a x i e d e
aronstein	阿伦斯坦	a lun si tan	a l u n s i t a n
morren	莫伦	mo lun	m o l u n
bellinger	贝林杰	bei lin jie	b e i l i n j i e
halverson	霍尔沃森	huo er wo sen	h u o e r w o s e n
gigi	吉吉	ji ji	j i j i
achhammer	阿查默	a cha mo	a c h a m o
sharyl	谢里尔	xie li er	x i e l i e r
elnor	埃尔诺	ai er nuo	a i e r n u o
bensinhom	本辛霍姆	ben xin huo mu	b e n x i n h u o m u
burne	伯恩	bo en	b o e n
beaupre	博普雷	bo pu lei	b o p u l e i
finnemore	芬尼莫尔	fen ni mo er	f e n n i m o e r
kristina	克里斯蒂娜	ke li si di na	k e l i s i d i n a
carrol	卡罗尔	ka luo er	k a l u o e r
dorskind	多斯金德	duo si jin de	d u o s i j i n d e
ruse	鲁斯	lu si	l u s i
fearnley	费恩利	fei en li	f e i e n l i
alfven	阿尔文	a er wen	a e r w e n
macdiarmid	麦克迪尔米德	mai ke di er mi de	m a i k e d i e r m i d e
alspach	阿尔斯波	a er si bo	a e r s i b o
frawley	弗劳利	fu lao li	f u l a o l i
chenery	切纳里	qie na li	q i e n a l i
fintell	芬特尔	fen te er	f e n t e e r
quellenec	凯莱内克	kai lai nei ke	k a i l a i n e i k e
briddle	布里德尔	bu li de er	b u l i d e e r
milhollin	米尔霍林	mi er huo lin	m i e r h u o l i n
mackle	麦克尔	mai ke er	m a i k e e r
dolmetsch	多尔梅奇	duo er mei qi	d u o e r m e i q i
froese	弗勒泽	fu le ze	f u l e z e
dorman	多尔曼	duo er man	d u o e r m a n
conquest	康奎斯特	kang kui si te	k a n g k u i s i t e
bilder	比尔德	bi er de	b i e r d e
warre	沃尔	wo er	w o e r
hinchcliffe	欣奇克利夫	xin qi ke li fu	x i n q i k e l i f u
birkerts	伯克茨	bo ke ci	b o k e c i
collet	科利特	ke li te	k e l i t e
shield	希尔德	xi er de	x i e r d e
bolgiano	博尔贾诺	bo er jia nuo	b o e r j i a n u o
tomayko	托迈科	tuo mai ke	t u o m a i k e
barnidge	巴尼奇	ba ni qi	b a n i q i
bahmer	巴默	ba mo	b a m o
rentoul	伦图尔	lun tu er	l u n t u e r
dagata	达加塔	da jia ta	d a j i a t a
danelle	达内尔	da nei er	d a n e i e r
cullinane	卡利南	ka li nan	k a l i n a n
hamley	哈姆利	ha mu li	h a m u l i
venn	维恩	wei en	w e i e n
leaphart	利普哈特	li pu ha te	l i p u h a t e
codus	科德斯	ke de si	k e d e s i
hetter	赫特	he te	h e t e
raph	拉夫	la fu	l a f u
mallender	马伦德	ma lun de	m a l u n d e
crosskey	克罗斯基	ke luo si ji	k e l u o s i j i
vasken	瓦斯肯	wa si ken	w a s i k e n
wallet	沃利特	wo li te	w o l i t e
godinez	戈迪内斯	ge di nei si	g e d i n e i s i
swanzy	斯旺齐	si wang qi	s i w a n g q i
dematties	德马蒂斯	de ma di si	d e m a d i s i
hollaender	霍兰德	huo lan de	h u o l a n d e
neuffer	诺伊弗	nuo yi fu	n u o y i f u
seay	西伊	xi yi	x i y i
peterfield	彼得菲尔德	bi de fei er de	b i d e f e i e r d e
rall	拉尔	la er	l a e r
woodridge	伍德里奇	wu de li qi	w u d e l i q i
raaberg	拉伯格	la bo ge	l a b o g e
louisa	路易莎	lu yi sha	l u y i s h a
kidson	基德森	ji de sen	j i d e s e n
abolins	阿博林斯	a bo lin si	a b o l i n s i
stiehler	斯蒂勒	si di le	s i d i l e
shrontz	施龙茨	shi long ci	s h i l o n g c i
nunns	纳恩斯	na en si	n a e n s i
joshua	乔舒亚	qiao shu ya	q i a o s h u y a
dening	德宁	de ning	d e n i n g
fushman	富什曼	fu shi man	f u s h i m a n
tuhe	图赫	tu he	t u h e
burges	伯吉斯	bo ji si	b o j i s i
baill	贝尔	bei er	b e i e r
hasley	哈斯利	ha si li	h a s i l i
